"","X","Date","Country","State","Case_Type","Cases","Difference","Prep_Flow_Runtime","Latest_Date","Lat","Long"
"128",80788,2020-02-14,"Malaysia","N/A","Active",16,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"129",80905,2020-02-29,"Malaysia","N/A","Recovered",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"130",80906,2020-02-29,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"131",80907,2020-02-29,"Malaysia","N/A","Confirmed",25,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"132",80908,2020-02-29,"Malaysia","N/A","Active",7,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"133",81545,2020-01-29,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"134",81546,2020-01-29,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"135",81547,2020-01-29,"Malaysia","N/A","Confirmed",7,3,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"136",81548,2020-01-29,"Malaysia","N/A","Active",7,3,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"137",82241,2020-02-08,"Malaysia","N/A","Recovered",1,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"138",82242,2020-02-08,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"139",82243,2020-02-08,"Malaysia","N/A","Confirmed",16,4,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"140",82244,2020-02-08,"Malaysia","N/A","Active",15,4,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"141",82545,2020-02-25,"Malaysia","N/A","Recovered",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"142",82546,2020-02-25,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"143",82547,2020-02-25,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"144",82548,2020-02-25,"Malaysia","N/A","Active",4,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"145",84021,2020-02-07,"Malaysia","N/A","Recovered",1,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"146",84022,2020-02-07,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"147",84023,2020-02-07,"Malaysia","N/A","Confirmed",12,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"148",84024,2020-02-07,"Malaysia","N/A","Active",11,-1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"149",84781,2020-03-09,"Malaysia","N/A","Recovered",24,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"150",84782,2020-03-09,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"151",84783,2020-03-09,"Malaysia","N/A","Confirmed",117,18,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"152",84784,2020-03-09,"Malaysia","N/A","Active",93,18,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"153",85529,2020-02-01,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"154",85530,2020-02-01,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"155",85531,2020-02-01,"Malaysia","N/A","Confirmed",8,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
